Rank,City,Country,Score
1,London,United_Kingdom,100.0
2,Tokyo,Japan,98.0
3,Seoul,South_Korea,97.6
4,Melbourne,Australia,97.3
5,Munich,Germany,97.1
6,Paris,France,96.3
7,Sydney,Australia,96.2
8,Berlin,Germany,95.0
8,Zurich,Switzerland,95.0
10,Boston,United_States,92.3
11,Toronto,Canada,92.1
12,Vienna,Austria,91.1
13,Montreal,Canada,90.9
14,KyotoOsakaKobe,Japan,90.8
15,Singapore,Singapore,90.7
16,Edinburgh,United_Kingdom,90.2
17,New_York,United_States,89.6
18,Vancouver,Canada,88.7
19,Lausanne,Switzerland,87.5
20,San_Francisco,United_States,87.4
21,Hong_Kong_SAR,Hong_Kong_SAR,86.5
22,Brisbane,Australia,86.2
22,Stockholm,Sweden,86.2
24,Amsterdam,Netherlands,86.1
24,Kuala_Lumpur,Malaysia,86.1
26,Adelaide,Australia,86.0
27,Los_Angeles,United_States,85.0
27,Madrid,Spain,85.0
29,Auckland,New_Zealand,84.8
30,Canberra,Australia,83.9
30,Manchester,United_Kingdom,83.9
32,Dublin,Ireland,83.7
33,Taipei,Taiwan,83.5
34,Buenos_Aires,Argentina,83.0
34,Perth,Australia,83.0
36,Glasgow,United_Kingdom,82.9
37,Beijing,China_Mainland,81.8
38,Barcelona,Spain,81.6
39,Chicago,United_States,81.5
39,Leuven,Belgium,81.5
39,Newcastle_Upon_Tyne,United_Kingdom,81.5
39,Prague,Czech_Republic,81.5
44,Bristol,United_Kingdom,78.4
44,Coventry,United_Kingdom,78.4
44,Lyon,France,78.4
47,Santiago,Chile,76.9
48,Shanghai,China_Mainland,76.8
49,Birmingham,United_Kingdom,76.5
50,Brussels,Belgium,76.4
51,Gothenburg,Sweden,76.3
52,Nottingham,United_Kingdom,76.1
53,Milan,Italy,75.9
54,Dubai,United_Arab_Emirates,75.8
55,Leeds,United_Kingdom,74.7
56,Rome,Italy,74.5
57,Ottawa,Canada,74.0
58,Liverpool,United_Kingdom,73.8
59,Atlanta,United_States,73.4
60,Belfast,United_Kingdom,72.9
60,Warsaw,Poland,72.9
62,Washington_DC,United_States,72.6
63,Brno,Czech_Republic,72.3
63,Philadelphia,United_States,72.3
65,Helsinki,Finland,71.2
66,San_Diego,United_States,70.8
67,Turin,Italy,70.5
68,Sheffield,United_Kingdom,70.4
69,Mexico_City,Mexico,70.2
70,Budapest,Hungary,70.1
71,Bangkok,Thailand,68.9
72,Lisbon,Portugal,68.7
73,Daejeon,South_Korea,68.0
74,Christchurch,New_Zealand,67.7
76,Aberdeen,United_Kingdom,67.4
77,Pittsburgh,United_States,66.7
78,Brighton,United_Kingdom,66.2
78,Miami,United_States,66.2
80,Hamburg,Germany,65.5
81,Almaty,Kazakhstan,65.4
82,Oslo,Norway,65.3
83,Seattle,United_States,65.1
84,Toulouse,France,64.7
85,Abu_Dhabi,United_Arab_Emirates,64.6
86,Cape_Town,South_Africa,62.9
87,Gold_Coast,Australia,62.6
88,Durham,United_States,62.5
89,Baltimore,United_States,62.2
90,Bogota,Colombia,61.9
90,Cairo,Egypt,61.9
90,Valencia,Spain,61.9
93,Krakow,Poland,61.8
94,Stuttgart,Germany,61.6
95,Graz,Austria,61.1
96,Monterrey,Mexico,60.9
97,Sao_Paulo,Brazil,60.7
98,Athens,Greece,60.6
99,Hsinchu,Taiwan,60.5
99,Nanjing,China_Mainland,60.5
102,Leicester,United_Kingdom,60.1
103,Amman,Jordan,59.4
104,Johannesburg,South_Africa,59.2
105,Pretoria,South_Africa,58.5
106,Doha,Qatar,58.4
107,Houston,United_States,58.2
108,Tainan,Taiwan,58.1
109,Wuhan,China_Mainland,58.0
110,Riyadh,Saudi_Arabia,57.6
111,Quebec,Canada,57.5
112,Lima,Peru,57.2
113,Nagoya,Japan,56.6
114,Subang_Jaya,Malaysia,56.2
115,Manila,Philippines,55.7
115,Shah_Alam,Malaysia,55.7
117,Riga,Latvia,55.6
118,Mumbai,India,54.7
119,Vilnius,Lithuania,54.1
120,Beirut,Lebanon,53.4
121,Astana,Kazakhstan,53.2
122,Jakarta,Indonesia,52.7
123,Dallas,United_States,52.3
124,Hannover,Germany,52.2
125,Quito,Ecuador,52.0
126,Yogyakarta,Indonesia,51.4
127,Wroclaw,Poland,51.2
128,Busan,South_Korea,50.7
129,Taichung,Taiwan,50.2
130,Montpellier,France,49.9
131,Tallinn,Estonia,49.6
132,Delhi,India,49.4
133,Bandung,Indonesia,49.3
134,Guangzhou,China_Mainland,49.1
135,Panama_City,Panama,48.7
136,Valparaiso,Chile,48.5
137,ClujNapoca,Romania,48.4
138,Rio_de_Janeiro,Brazil,47.9
139,Medellin,Colombia,47.5
140,Bratislava,Slovakia,47.4
141,Bucharest,Romania,46.9
142,Pozna,Poland,46.8
143,Macau,Macau_SAR,46.4
144,Kaunas,Lithuania,46.3
145,Surabaya,Indonesia,45.9
146,Tianjin,China_Mainland,45.2
147,Bangalore,India,45.0
148,Gwangju,South_Korea,44.4
149,Dhaka,Bangladesh,44.1
149,Xian,China_Mainland,44.1
151-160,Albany,United_States,42.9
151-160,Bilbao,Spain,42.3
151-160,Chennai,India,43.0
151-160,Daegu,South_Korea,42.5
151-160,Gdask,Poland,42.4
151-160,Harbin,China_Mainland,42.1
151-160,San_Jose,Costa_Rica,43.5
151-160,Taoyuan_District,Taiwan,43.6
151-160,Timisoara,Romania,42.7
